# Scryfall Tagger function-tag catalog (source: Tagger GraphQL API)
# Tag type: ORACLE_CARD_TAG (function / otag: search filter)
# Total reported by Tagger: 4524; slugs written here: 4524
# Format: <slug>\t<name>, sorted by slug.
# Note: `cycle-*` slugs are Tagger's internal per-set bookkeeping and are
#       usually NOT useful for card search.
40k-model	40k model
gives-provoke	gives provoke
gives-prowess	gives prowess
gives-prowl	gives prowl
gives-rampage	gives rampage
gives-reach	gives reach
gives-read-ahead	gives read ahead
gives-rebound	gives rebound
gives-relentless	gives relentless
gives-renown	gives renown
gives-replicate	gives replicate
gives-retrace	gives retrace
gives-riot	gives riot
gives-ripple	gives ripple
gives-saddle	gives saddle
gives-scavenge	gives scavenge
gives-shadow	gives shadow
gives-shroud	gives shroud
gives-skulk	gives skulk
gives-sneak	gives sneak
gives-spectacle	gives spectacle
gives-split-second	gives split second
gives-stalking	gives stalking
gives-storm	gives storm
gives-sunburst	gives sunburst
gives-super-haste	gives super haste
gives-suspend	gives suspend
gives-swampwalk	gives swampwalk
gives-tantrum	gives tantrum
gives-tap-ability	gives tap ability
gives-thoughtweft	gives thoughtweft
gives-townwalk	gives townwalk
gives-toxic	gives toxic
gives-training	gives training
gives-trample	gives trample
gives-triple-strike	gives triple strike
gives-umbra-armor	gives umbra armor
gives-unblockable	gives unblockable
gives-uncounterable	gives uncounterable
gives-undaunted	gives undaunted
gives-undying	gives undying
gives-unearth	gives unearth
gives-unleash	gives unleash
gives-unstoppable	gives unstoppable
gives-vigilance	gives vigilance
gives-ward	gives ward
gives-warp	gives warp
gives-web-slinging	gives web-slinging
gives-wither	gives wither
gives-wither-noncreature	gives wither noncreature
grafted-skullcap	grafted skullcap
grave-pact	grave pact
graveyard-fuel	graveyard fuel
graveyard-fuel-artifact	graveyard fuel-artifact
graveyard-fuel-creature	graveyard fuel-creature
graveyard-fuel-enchantment	graveyard fuel-enchantment
graveyard-fuel-historic	graveyard fuel-historic
graveyard-fuel-instant	graveyard fuel-instant
graveyard-fuel-land	graveyard fuel-land
graveyard-fuel-legendary	graveyard fuel-legendary
graveyard-fuel-noncreature	graveyard fuel-noncreature
graveyard-fuel-nonland	graveyard fuel-nonland
graveyard-fuel-permanent	graveyard fuel-permanent
graveyard-fuel-saga	graveyard fuel-saga
graveyard-fuel-self	graveyard fuel-self
graveyard-fuel-sorcery	graveyard fuel-sorcery
graveyard-order-matters	graveyard order matters
graveyard-seal	graveyard seal
great-designer-search-3	great-designer-search-3
greatest-power-matters	greatest power matters
greed-ability	greed ability
green-effect	green effect
grim-return	grim return
grind	grind
group-hug	group hug
group-slug	group slug
guess	guess
guest-designer	guest designer
gunk	gunk
half-mana	half mana
hand-disruption	hand disruption
hand-size-decrease	hand size decrease
hand-size-hate	hand size hate
hand-size-increase	hand size increase
hand-size-matters	hand size matters
harmonic	harmonic
has-identical-token	has identical token
haste-counter	haste counter
hate	hate
hate-activation	hate-activation
hate-adventure	hate-adventure
hate-arcane	hate-arcane
hate-artifact	hate-artifact
hate-artifact-creature	hate-artifact-creature
hate-artifact-land	hate-artifact-land
hate-attacker	hate-attacker
hate-attraction	hate-attraction
hate-aura	hate-aura
hate-backup	hate-backup
hate-banding	hate-banding
hate-battle	hate-battle
hate-black	hate-black
hate-blocker	hate-blocker
hate-blood	hate-blood
hate-blue	hate-blue
hate-clue	hate-clue
hate-color	hate-color
hate-color-choose	hate-color-choose
hate-color-every	hate-color-every
hate-color-non-share	hate-color-non-share
hate-color-share	hate-color-share
hate-colored	hate-colored
hate-colorless	hate-colorless
hate-commander	hate-commander
hate-conspiracy	hate-conspiracy
hate-contraption	hate-contraption
hate-counters	hate-counters
hate-counterspell	hate-counterspell
hate-creatureland	hate-creatureland
hate-curse	hate-curse
hate-cycling	hate-cycling
hate-damaged	hate-damaged
hate-deathtouch	hate-deathtouch
hate-defender	hate-defender
hate-desert	hate-desert
hate-dice	hate-dice
hate-discard	hate-discard
hate-disturb	hate-disturb
hate-double-strike	hate-double-strike
hate-empty-hand	hate empty hand
hate-enchantment	hate-enchantment
hate-enchantment-creature	hate-enchantment-creature
hate-equipment	hate-equipment
hate-etb	hate-etb
hate-exile-cast	hate-exile-cast
hate-face-down	hate-face-down
hate-fear	hate-fear
hate-first-strike	hate-first-strike
hate-flanking	hate-flanking
hate-flash	hate-flash
hate-flashback	hate-flashback
hate-flying	hate-flying
hate-food	hate-food
hate-forest	hate-forest
hate-free-spell	hate-free-spell
hate-full-hand	hate full hand
hate-goad	hate-goad
hate-graveyard	hate-graveyard
hate-graveyard-cast	hate-graveyard-cast
hate-green	hate-green
hate-haste	hate-haste
hate-high-mv	hate-high-mv
hate-high-pt	hate-high-pt
hate-horsemanship	hate-horsemanship
hate-hybrid	hate-hybrid
hate-infect	hate-infect
hate-instant	hate-instant
hate-island	hate-island
hate-kicker	hate-kicker
hate-landwalk	hate-landwalk
hate-legendary	hate-legendary
hate-library-cast	hate-library-cast
hate-life-payment	hate-life-payment
hate-lifegain	hate-lifegain
hate-lifelink	hate-lifelink
hate-low-power	hate-low-power
hate-low-toughness	hate-low-toughness
hate-menace	hate-menace
hate-mm-counter	hate-mm-counter
hate-monocolor	hate-monocolor
hate-morph	hate-morph
hate-mountain	hate-mountain
hate-multicolor	hate-multicolor
hate-named	hate-named
hate-nonartifact	hate-nonartifact
hate-nonbasic-land	hate-nonbasic-land
hate-noncreature	hate-noncreature
hate-nonhand-cast	hate-nonhand-cast
hate-off-turn-cast	hate-off-turn-cast
hate-plains	hate-plains
hate-planeswalker	hate-planeswalker
hate-planeswalker-bolas	hate-planeswalker-bolas
hate-planeswalker-chandra	hate-planeswalker-chandra
hate-planeswalker-jace	hate-planeswalker-jace
hate-plot	hate-plot
hate-protection	hate-protection
hate-ramp	hate-ramp
hate-reach	hate-reach
hate-red	hate-red
hate-regenerate	hate-regenerate
hate-removal-sacrifice	hate-removal-sacrifice
hate-room	hate-room
hate-saga	hate-saga
hate-scry	hate-scry
hate-set-mechanic	hate-set-mechanic
hate-shadow	hate-shadow
hate-shuffle	hate-shuffle
hate-snow	hate-snow
hate-sorcery	hate-sorcery
hate-spacecraft	hate-spacecraft
hate-speed	hate-speed
hate-splice	hate-splice
hate-storm	hate-storm
hate-surveil	hate-surveil
hate-suspect	hate-suspect
hate-suspend	hate-suspend
hate-swamp	hate-swamp
hate-tapped	hate-tapped
hate-target	hate-target
hate-theft	hate-theft
hate-token	hate-token
hate-town	hate-town
hate-toxic	hate-toxic
hate-transform	hate-transform
hate-trap	hate-trap
hate-treasure	hate-treasure
hate-tutor	hate-tutor
hate-typal	hate-typal
hate-typal-alien	hate-typal-alien
hate-typal-angel	hate-typal-angel
hate-typal-archon	hate-typal-archon
hate-typal-assassin	hate-typal-assassin
hate-typal-beast	hate-typal-beast
hate-typal-bird	hate-typal-bird
hate-typal-choose	hate-typal-choose
hate-typal-cleric	hate-typal-cleric
hate-typal-coward	hate-typal-coward
hate-typal-coyote	hate-typal-coyote
hate-typal-cyclops	hate-typal-cyclops
hate-typal-dalek	hate-typal-dalek
hate-typal-demon	hate-typal-demon
hate-typal-devil	hate-typal-devil
hate-typal-dinosaur	hate-typal-dinosaur
hate-typal-djinn	hate-typal-djinn
hate-typal-dog	hate-typal-dog
hate-typal-dragon	hate-typal-dragon
hate-typal-efreet	hate-typal-efreet
hate-typal-eldrazi	hate-typal-eldrazi
hate-typal-eldrazi-scion	hate-typal-eldrazi-scion
hate-typal-elf	hate-typal-elf
hate-typal-elk	hate-typal-elk
hate-typal-giant	hate-typal-giant
hate-typal-glimmer	hate-typal-glimmer
hate-typal-goat	hate-typal-goat
hate-typal-goblin	hate-typal-goblin
hate-typal-god	hate-typal-god
hate-typal-gorgon	hate-typal-gorgon
hate-typal-homarid	hate-typal-homarid
hate-typal-human	hate-typal-human
hate-typal-inkling	hate-typal-inkling
hate-typal-kavu	hate-typal-kavu
hate-typal-kithkin	hate-typal-kithkin
hate-typal-knight	hate-typal-knight
hate-typal-lizard	hate-typal-lizard
hate-typal-mercenary	hate-typal-mercenary
hate-typal-mutant	hate-typal-mutant
hate-typal-ninja	hate-typal-ninja
hate-typal-non-assassin	hate-typal-non-assassin
hate-typal-non-choose	hate-typal-non-choose
hate-typal-non-demon	hate-typal-non-demon
hate-typal-non-dragon	hate-typal-non-dragon
hate-typal-non-elemental	hate-typal-non-elemental
hate-typal-non-elf	hate-typal-non-elf
hate-typal-non-faerie	hate-typal-non-faerie
hate-typal-non-giant	hate-typal-non-giant
hate-typal-non-god	hate-typal-non-god
hate-typal-non-gorgon	hate-typal-non-gorgon
hate-typal-non-human	hate-typal-non-human
hate-typal-non-kraken	hate-typal-non-kraken
hate-typal-non-leviathan	hate-typal-non-leviathan
hate-typal-non-merfolk	hate-typal-non-merfolk
hate-typal-non-octopus	hate-typal-non-octopus
hate-typal-non-pirate	hate-typal-non-pirate
hate-typal-non-rogue	hate-typal-non-rogue
hate-typal-non-serpent	hate-typal-non-serpent
hate-typal-non-soldier	hate-typal-non-soldier
hate-typal-non-spirit	hate-typal-non-spirit
hate-typal-non-vampire	hate-typal-non-vampire
hate-typal-non-wall	hate-typal-non-wall
hate-typal-non-werewolf	hate-typal-non-werewolf
hate-typal-non-zombie	hate-typal-non-zombie
hate-typal-orc	hate-typal-orc
hate-typal-ox	hate-typal-ox
hate-typal-phyrexian	hate-typal-phyrexian
hate-typal-pirate	hate-typal-pirate
hate-typal-rat	hate-typal-rat
hate-typal-rebel	hate-typal-rebel
hate-typal-reflection	hate-typal-reflection
hate-typal-robot	hate-typal-robot
hate-typal-rogue	hate-typal-rogue
hate-typal-salamander	hate-typal-salamander
hate-typal-saproling	hate-typal-saproling
hate-typal-scarecrow	hate-typal-scarecrow
hate-typal-serf	hate-typal-serf
hate-typal-share	hate-typal-share
hate-typal-skeleton	hate-typal-skeleton
hate-typal-sliver	hate-typal-sliver
hate-typal-soldier	hate-typal-soldier
hate-typal-spider	hate-typal-spider
hate-typal-spirit	hate-typal-spirit
hate-typal-survivor	hate-typal-survivor
hate-typal-thrull	hate-typal-thrull
hate-typal-treefolk	hate-typal-treefolk
hate-typal-vampire	hate-typal-vampire
hate-typal-wall	hate-typal-wall
hate-typal-warlock	hate-typal-warlock
hate-typal-warrior	hate-typal-warrior
hate-typal-werewolf	hate-typal-werewolf
hate-typal-wizard	hate-typal-wizard
hate-typal-wolf	hate-typal-wolf
hate-typal-yeti	hate-typal-yeti
hate-typal-zombie	hate-typal-zombie
hate-untapped	hate-untapped
hate-vehicle	hate-vehicle
hate-vigilance	hate-vigilance
hate-ward	hate-ward
hate-warp	hate-warp
hate-white	hate-white
hate-wide	hate-wide
hatebear	hatebear
hatebird	hatebird
hats-matter	hats matter
haven	haven
heckbent	heckbent
hellbending	hellbending
hellbent	hellbent
helper-card	helper card
heroic	heroic
hexproof-counter	hexproof counter
hexproof-soft	hexproof soft
high-five-matters	high five matters
high-flying	high flying
high-mana-value-matters	high mana value matters
high-x-matters	high x matters
homeward-effect	homeward effect
howlgeist-ability	howlgeist ability
humble	humble
hunger	hunger
hunger-reanimation	hunger reanimation
hunger-trigger	hunger trigger
hungry-demon	hungry demon
hurricane	hurricane
illusion-ability	illusion ability
impact-effect	impact effect
imprint	imprint
imprinted-card-types-matter	imprinted card types matter
improvise	improvise
impulse	impulse
impulse-artifact	impulse-artifact
impulse-artifact-creature	impulse-artifact-creature
impulse-artifact-equipment	impulse-artifact-equipment
impulse-artifact-legendary	impulse-artifact-legendary
impulse-artifact-spacecraft	impulse-artifact-spacecraft
impulse-artifact-vehicle	impulse-artifact-vehicle
impulse-battle	impulse-battle
impulse-black	impulse-black
impulse-blue	impulse-blue
impulse-cast	impulse-cast
impulse-color	impulse-color
impulse-colorless	impulse-colorless
impulse-creature	impulse-creature
impulse-creature-ally	impulse-creature-ally
impulse-creature-angel	impulse-creature-angel
impulse-creature-assassin	impulse-creature-assassin
impulse-creature-demon	impulse-creature-demon
impulse-creature-dinosaur	impulse-creature-dinosaur
impulse-creature-dragon	impulse-creature-dragon
impulse-creature-dwarf	impulse-creature-dwarf
impulse-creature-elemental	impulse-creature-elemental
impulse-creature-elf	impulse-creature-elf
impulse-creature-goblin	impulse-creature-goblin
impulse-creature-hero	impulse-creature-hero
impulse-creature-human	impulse-creature-human
impulse-creature-kavu	impulse-creature-kavu
impulse-creature-knight	impulse-creature-knight
impulse-creature-legendary	impulse-creature-legendary
impulse-creature-merfolk	impulse-creature-merfolk
impulse-creature-mutant	impulse-creature-mutant
impulse-creature-ninja	impulse-creature-ninja
impulse-creature-pirate	impulse-creature-pirate
impulse-creature-rat	impulse-creature-rat
impulse-creature-soldier	impulse-creature-soldier
impulse-creature-turtle	impulse-creature-turtle
impulse-creature-warrior	impulse-creature-warrior
impulse-creature-zombie	impulse-creature-zombie
impulse-enchantment	impulse-enchantment
impulse-enchantment-aura	impulse-enchantment-aura
impulse-enchantment-saga	impulse-enchantment-saga
impulse-enchantment-shrine	impulse-enchantment-shrine
impulse-green	impulse-green
impulse-historic	impulse-historic
impulse-instant	impulse-instant
impulse-instant-sorcery-lesson	impulse-instant-sorcery-lesson
impulse-land	impulse-land
impulse-legendary	impulse-legendary
impulse-multicolor	impulse-multicolor
impulse-noncreature	impulse-noncreature
impulse-nonland	impulse-nonland
impulse-onto-battlefield	impulse-onto-battlefield
impulse-permanent	impulse-permanent
impulse-planeswalker	impulse-planeswalker
impulse-pw-garruk	impulse-pw-garruk
impulse-pw-tyvar	impulse-pw-tyvar
impulse-red	impulse-red
impulse-sorcery	impulse-sorcery
impulse-to-top	impulse-to-top
impulse-to-zone	impulse-to-zone
impulse-white	impulse-white
impulsive-curiosity	impulsive curiosity
impulsive-draw	impulsive draw
impulsive-mill	impulsive mill
impulsive-recursion	impulsive recursion
indefinite-effect	indefinite effect
indestructible-counter	indestructible counter
infernal-spawn-family	infernal spawn family
infusion	infusion
ingest	ingest
inscryption-achievement	inscryption achievement
inspired	inspired
instant-loyalty-ability	instant loyalty ability
instant-sorcery-dichotomous	instant-sorcery-dichotomous
instant-speed-discard	instant speed discard
interrupt	interrupt
intervening-if-clause	intervening if clause
inverted-effects	inverted effects
invitational-card	invitational card
ip-matters	ip matters
islandfall	islandfall
jackal-pup-ability	jackal pup ability
jump	jump
just-shuffle	just shuffle
karnstructs	karnstructs
keyword-anthem	keyword anthem
keyword-counter	keyword counter
keyword-errata	keyword errata
keyword-errata-flash	keyword errata flash
keyword-errata-hexproof	keyword errata hexproof
keyword-errata-scry	keyword errata scry
keyword-errata-surveil	keyword errata surveil
keyword-soup	keyword soup
keywords-matter	keywords matter
kismet-effect	kismet effect
krarks-other-thumb-effect	krarks other thumb effect
land-conversion	land conversion
land-count-matters	land count matters
land-kavu	land kavu
land-or-hand	land or hand
land-ramp	land ramp
landfall	landfall
landfall-other	landfall other
landhome	landhome
lands-in-graveyard-matter	lands in graveyard matter
lands-matter	lands matter
landslow	landslow
last-chance	last chance
leaves-battlefield-trigger	leaves battlefield trigger
leaves-body-behind	leaves body behind
leaves-graveyard-trigger	leaves graveyard trigger
leaves-trigger-self	leaves trigger-self
leaving-graveyard-matters	leaving graveyard matters
legacy	legacy
legendary-team-up	legendary team-up
legendfall	legendfall
legendify	legendify
legends-retold	legends retold
leveler	leveler
leyline	leyline
lhurgoyf	lhurgoyf
library-manipulation	library manipulation
library-size-matters	library size matters
lich-effect	lich effect
life-and-death-trigger-self	life-and-death-trigger-self
life-divider	life divider
life-divider-opponent	life divider-opponent
life-divider-you	life divider-you
life-doubler	life doubler
life-for-cards	life for cards
life-loss-matters	life loss matters
life-payment	life payment
life-total-matters-self	life-total-matters-self
lifegain	lifegain
lifegain-increaser	lifegain increaser
lifegain-matters	lifegain matters
lifegain-to-damage	lifegain to damage
lifelink-counter	lifelink counter
lightning-bolt-redux	lightning bolt redux
liliana-s-pact-demon	liliana's pact demon
living-weapon	living weapon
lobotomy	lobotomy
location-matters	location matters
lockdown	lockdown
lockdown-artifact	lockdown-artifact
lockdown-creature	lockdown-creature
lockdown-land	lockdown-land
lockdown-nonland	lockdown-nonland
lockdown-permanent	lockdown-permanent
lockdown-planeswalker	lockdown-planeswalker
lockdown-spacecraft	lockdown-spacecraft
loner	loner
long-term-impulsive-draw	long term impulsive draw
loot	loot
loot-to-exile	loot to exile
loot-to-library	loot to library
lose-trigger	lose trigger
lose-unspent-mana	lose unspent mana
low-mana-value-matters	low mana value matters
low-x-matters	low x matters
lure	lure
lure-limited	lure-limited
madness	madness
magecraft	magecraft
magic-term-name	magic term name
man-o-war	man-o'-war
mana-abilities-matter	mana abilities matter
mana-ability-with-extra-effect	mana ability with extra effect
mana-cost-matters	mana cost matters
mana-dork	mana dork
mana-dork-egg	mana dork egg
mana-egg	mana egg
mana-filter	mana filter
mana-gorger	mana gorger
mana-increaser	mana increaser
mana-leak-series	mana leak series
mana-producer	mana producer
mana-restriction	mana restriction
mana-rock	mana rock
mana-rock-with-set-s-mechanic	mana rock with set's mechanic
mana-sink	mana sink
mana-source-type	mana source (type)
mana-spent-matters	mana spent matters
mana-storage	mana storage
mana-value-matters	mana value matters
manaless-land	manaless land
manaless-value	manaless value
marauder	marauder
maro	maro
maro-sorcerer	maro-sorcerer
martyr	martyr
marvel-storyline-name	marvel storyline name
mass-land-denial	mass land denial
mass-reanimation	mass reanimation
mass-shrink	mass shrink
match-points-matter	match points matter
mathy-name	mathy name
mechanical-foreshadow	mechanical foreshadow
meme	meme
menace-counter	menace counter
metalcraft	metalcraft
mill	mill
mill-any	mill-any
mill-each	mill-each
mill-exile	mill-exile
mill-opponent	mill-opponent
mill-self	mill-self
mimic	mimic
mini-refund	mini refund
minigame	minigame
miniwheel	miniwheel
mirror-gallery	mirror gallery
mirrored-knight	mirrored knight
misnomer	misnomer
mix-and-match	mix-and-match
mixed-subtypes	mixed subtypes
mm-counter-cost	mm counter cost
mm-counters-matter	mm counters matter
mob-name	mob name
modal	modal
modal-inverse-choices	modal inverse choices
monarch-matters	monarch matters
mono-red-value	mono-red value
monstrosity	monstrosity
morbid	morbid
more-expensive-than-mv	more expensive than mv
morphling	morphling
mountainfall	mountainfall
move-counters	move counters
moxen	moxen
mulch	mulch
multi-character-card	multi character card
multi-copy	multi-copy
multi-land-ramp	multi land ramp
multi-removal	multi removal
multiclass-party-member	multiclass party member
multicolor-kicker	multicolor kicker
multiplayer	multiplayer
multiple-bodies	multiple bodies
multiple-kicker-costs	multiple kicker costs
multiple-species-types	multiple species types
multiple-targets	multiple targets
mutiny	mutiny
mutual-sacrifice	mutual sacrifice
name-matters	name matters
named-choice	named choice
named-token	named token
namesake-spell	namesake spell
nanni	nanni
naturalize-with-set-mechanic	naturalize with set mechanic
naya-ferocious	naya ferocious
nemesis-mega-cycle	nemesis-mega-cycle
neo-regenerate	neo-regenerate
nevermore	nevermore
night-matters	night matters
nightveil-theft	nightveil theft
nimble	nimble
ninjutsu	ninjutsu
no-creature-type	no-creature-type
no-mercy	no mercy
no-planeswalker-type	no-planeswalker-type
non-integer	non-integer
non-mana-ability-mana	non mana ability mana
non-mana-ward	non-mana ward
nonbasic-basic-land-type	nonbasic-basic-land-type
noncreature-french-vanilla	noncreature french vanilla
noncreature-typal	noncreature typal
noncreature-virtual-vanilla	noncreature virtual vanilla
nonfunctional-reminder-counter	nonfunctional reminder counter
nonstandard-bestow	nonstandard-bestow
noted-tracked-information	noted tracked information
notorious-templating	notorious templating
null-rod	null rod
o-ring-with-set-mechanic	o-ring with set mechanic
off-turn-attack	off-turn attack
off-turn-casting-matters	off-turn casting matters
offcolor-ability	offcolor ability
offcolor-additional-cost	offcolor additional cost
offcolor-mana-generation	offcolor mana generation
offspring-token	offspring token
oil-counters-matter	oil counters matter
old-banish-templating	old banish templating
old-blocking-deathtouch	old blocking deathtouch
old-damage-deathtouch	old damage deathtouch
old-fight	old fight
old-lifelink	old lifelink
old-mana-burn-clause	old mana burn clause
old-typeline	old typeline
old-ward	old ward
omnivore-ability	omnivore ability
one-off	one-off
one-sided-fight	one-sided fight
onomatopoeia	onomatopoeia
opaline-effect	opaline effect
open-attraction	open attraction
opponent-chooses	opponent chooses
opponent-discard-matters	opponent-discard matters
opponent-lifegain	opponent lifegain
opponent-loses-life	opponent loses life
opponent-sacrifice-matters	opponent sacrifice matters
opponent-sacrifices	opponent sacrifices
orochi-ability	orochi ability
other-games-matter	other games matter
out-of-color-token	out of color token
outlast-mentor	outlast mentor
outnumber	outnumber
outside-objects-matter	outside objects matter
overrun	overrun
ownership-change-in-hand	ownership change in hand
pacifism	pacifism
painland	painland
pair-commander	pair-commander
paper-compatible	paper-compatible
paradox	paradox
parasitic-aura	parasitic aura
pariah	pariah
passive-ability	passive ability
peek	peek
peek-face-down	peek-face-down
peek-hand	peek-hand
peek-library	peek-library
per-player	per-player
permanentfall	permanentfall
perpetual-aura	perpetual aura
persecution-effect	persecution effect
persist	persist
phase-manipulation	phase manipulation
phasing	phasing
phasing-matters	phasing matters
phoenix-with-set-s-mechanic	phoenix with set's mechanic
phyrexian-mana	phyrexian mana
phyrexian-mana-ability	phyrexian mana ability
phyrexian-mana-cost	phyrexian mana cost
phyrexian-token	phyrexian token
pierce	pierce
pile	pile
pile-card	pile card
pillage-effect	pillage effect
pillowfort	pillowfort
pinger	pinger
pitch-spell	pitch spell
place-sticker	place sticker
plainsfall	plainsfall
planechase-mechanic	planechase mechanic
planeswalker-deck-face-card	planeswalker deck face card
planeswalker-deck-staples	planeswalker deck staples
planeswalkerfall	planeswalkerfall
platinum-angel-effect	platinum angel effect
play-additional-land	play additional land
play-from-top	play from top
player-spotlight	player spotlight
players-outside-game-matter	players outside game matter
playtest-forecast	playtest forecast
plunder	plunder
poison-mechanics	poison mechanics
poison-opponents	poison opponents
poisonous	poisonous
polymorph	polymorph
portmanteau	portmanteau
potentially-black-border	potentially black border
potentially-free	potentially free
power-boost-to-all	power boost to all
power-doubler	power doubler
power-matters	power matters
power-matters-individual	power matters-individual
power-matters-self	power matters-self
power-matters-total	power matters-total
power-nine	power nine
powerstone-mana	powerstone mana
pp-counters-matter	pp counters matter
precognition	precognition
precognition-engine	precognition engine
predefined-token	predefined token
preexisting-dnd-background	preexisting dnd background
prepare-matters	prepare matters
prevent-activation	prevent activation
prevent-attack	prevent attack
prevent-blocker	prevent blocker
prevent-cast	prevent cast
prevent-damage-redirection	prevent damage redirection
prevent-etb	prevent etb
prevent-extra-turns	prevent extra turns
prevent-mass-blockers	prevent mass blockers
prevent-put-counter	prevent put counter
prevent-sacrifice	prevent sacrifice
prevent-transform	prevent-transform
prevent-trigger	prevent trigger
prevents-win-loss	prevents win/loss
pridemate	pridemate
probe	probe
processing	processing
promotes-to-commander	promotes to commander
protection	protection
protects-all	protects-all
protects-artifact	protects-artifact
protects-creature	protects-creature
protects-enchantment	protects-enchantment
protects-land	protects-land
protects-nonland	protects-nonland
protects-permanent	protects-permanent
protects-planeswalker	protects-planeswalker
protects-token	protects-token
protects-vehicle	protects-vehicle
provoke-lite	provoke lite
prowess-anthem	prowess anthem
pseudo-ante	pseudo-ante
pseudo-cycling	pseudo-cycling
pseudo-dethrone	pseudo-dethrone
pseudo-equipment	pseudo-equipment
pseudo-exert	pseudo-exert
pseudo-fog	pseudo-fog
pseudo-haste	pseudo-haste
pseudo-hexproof	pseudo-hexproof
pseudo-intimidate	pseudo-intimidate
pseudo-legendary	pseudo-legendary
pseudo-leveler	pseudo-leveler
pseudo-proliferate	pseudo-proliferate
pseudo-shroud	pseudo-shroud
punchcard	punchcard
punisher	punisher
punny-name	punny name
pure-draw	pure draw
purgatory	purgatory
pwdeck-sidekick	pwdeck-sidekick
pwdeck-tutor	pwdeck-tutor
quadratic	quadratic
quest	quest
quick-attach	quick attach
quick-enchant	quick enchant
quick-equip	quick equip
quietus-effect	quietus effect
quote-name	quote name
rack-effect	rack effect
radiate	radiate
raid	raid
rainbow-land	rainbow land
ramp	ramp
ramp-with-set-s-mechanic	ramp with set's mechanic
rampage	rampage
random-card	random card
random-discard	random discard
ransom	ransom
rarity-matters	rarity matters
reach-counter	reach counter
real-life-animal-name	real life animal name
reanimate	reanimate
reanimate-artifact	reanimate-artifact
reanimate-artifact-creature	reanimate-artifact-creature
reanimate-aura	reanimate-aura
reanimate-battle	reanimate-battle
reanimate-cast	reanimate-cast
reanimate-creature	reanimate-creature
reanimate-enchantment	reanimate-enchantment
reanimate-equipment	reanimate-equipment
reanimate-face-down	reanimate-face-down
reanimate-from-any	reanimate-from-any
reanimate-from-opponent	reanimate-from-opponent
reanimate-historic	reanimate-historic
reanimate-instant-sorcery	reanimate-instant/sorcery
reanimate-land	reanimate-land
reanimate-legendary	reanimate-legendary
reanimate-matters	reanimate matters
reanimate-noncreature	reanimate-noncreature
reanimate-nonland	reanimate-nonland
reanimate-permanent	reanimate-permanent
reanimate-planeswalker	reanimate-planeswalker
reanimate-saga	reanimate-saga
reanimate-self	reanimate-self
reanimate-spacecraft	reanimate-spacecraft
reanimate-vehicle	reanimate-vehicle
recasting-commander-matters	recasting commander matters
recurring-suspend	recurring suspend
recursion	recursion
recursion-any	recursion-any
recursion-artifact	recursion-artifact
recursion-battle	recursion-battle
recursion-creature	recursion-creature
recursion-enchantment	recursion-enchantment
recursion-from-exile	recursion from exile
recursion-instant	recursion-instant
recursion-land	recursion-land
recursion-permanent	recursion-permanent
recursion-planeswalker	recursion-planeswalker
recursion-self	recursion-self
recursion-sorcery	recursion-sorcery
recycle	recycle
red-effect	red effect
references-keyword	references keyword
reflexive-trigger	reflexive trigger
refund	refund
regenerates-other	regenerates other
regenerates-self	regenerates self
regrowth	regrowth
regrowth-any	regrowth-any
regrowth-arcane	regrowth-arcane
regrowth-artifact	regrowth-artifact
regrowth-artifact-creature	regrowth-artifact-creature
regrowth-aura	regrowth-aura
regrowth-battle	regrowth-battle
regrowth-creature	regrowth-creature
regrowth-enchantment	regrowth-enchantment
regrowth-equipment	regrowth-equipment
regrowth-food	regrowth-food
regrowth-historic	regrowth-historic
regrowth-instant	regrowth-instant
regrowth-land	regrowth-land
regrowth-legendary	regrowth-legendary
regrowth-noncreature	regrowth-noncreature
regrowth-nonland	regrowth-nonland
regrowth-nonland-permanent	regrowth-nonland-permanent
regrowth-permanent	regrowth-permanent
regrowth-planeswalker	regrowth-planeswalker
regrowth-saga	regrowth-saga
regrowth-self	regrowth-self
regrowth-sorcery	regrowth-sorcery
regrowth-spacecraft	regrowth-spacecraft
regrowth-vehicle	regrowth-vehicle
relentless	relentless
reminder-card	reminder card
reminder-text-matters	reminder text matters
removal	removal
removal-artifact	removal-artifact
removal-aura	removal-aura
removal-battle	removal-battle
removal-bounce	removal-bounce
removal-burn	removal-burn
removal-creature	removal-creature
removal-destroy	removal-destroy
removal-enchantment	removal-enchantment
removal-equipment	removal-equipment
removal-exile	removal-exile
removal-fight	removal-fight
removal-land	removal-land
removal-noncreature	removal-noncreature
removal-nonenchantment	removal-nonenchantment
removal-nonland	removal-nonland
removal-permanent	removal-permanent
removal-planeswalker	removal-planeswalker
removal-sacrifice	removal-sacrifice
removal-spacecraft	removal-spacecraft
removal-token	removal-token
removal-toughness	removal-toughness
removal-tuck	removal-tuck
removal-vehicle	removal-vehicle
remove-counters	remove counters
remove-counters-other	remove counters-other
remove-counters-player	remove counters-player
remove-counters-you	remove counters-you
remove-from-combat	remove from combat
remove-from-stack	remove-from-stack
removes-banding	removes banding
removes-deathtouch	removes deathtouch
removes-defender	removes defender
removes-double-strike	removes double strike
removes-first-strike	removes first strike
removes-flying	removes flying
removes-hexproof	removes hexproof
removes-indestructible	removes indestructible
removes-infect	removes infect
removes-landwalk	removes landwalk
removes-mm-counters	removes-mm-counters
removes-mm-counters-self	removes-mm-counters-self
removes-protection	removes protection
